built S_1 mod x^112501 in 0s
n=109 wrong_sign=0 [] zeros=221 max_zero_m=554 mu_of_it=4.66e-03 (0.0s, total 2s)
n=110 wrong_sign=0 [] zeros=223 max_zero_m=559 mu_of_it=4.62e-03 (0.0s, total 2s)
n=111 wrong_sign=0 [] zeros=225 max_zero_m=564 mu_of_it=4.58e-03 (0.0s, total 2s)
n=112 wrong_sign=0 [] zeros=227 max_zero_m=569 mu_of_it=4.54e-03 (0.0s, total 2s)
n=113 wrong_sign=0 [] zeros=229 max_zero_m=574 mu_of_it=4.50e-03 (0.0s, total 2s)
n=114 wrong_sign=0 [] zeros=231 max_zero_m=579 mu_of_it=4.46e-03 (0.0s, total 2s)
n=115 wrong_sign=0 [] zeros=233 max_zero_m=584 mu_of_it=4.42e-03 (0.0s, total 2s)
n=116 wrong_sign=0 [] zeros=235 max_zero_m=589 mu_of_it=4.38e-03 (0.0s, total 2s)
n=117 wrong_sign=0 [] zeros=237 max_zero_m=594 mu_of_it=4.34e-03 (0.0s, total 2s)
n=118 wrong_sign=0 [] zeros=239 max_zero_m=599 mu_of_it=4.30e-03 (0.0s, total 2s)
n=119 wrong_sign=0 [] zeros=241 max_zero_m=604 mu_of_it=4.27e-03 (0.0s, total 2s)
n=120 wrong_sign=0 [] zeros=243 max_zero_m=609 mu_of_it=4.23e-03 (0.0s, total 3s)
n=121 wrong_sign=0 [] zeros=245 max_zero_m=614 mu_of_it=4.19e-03 (0.0s, total 3s)
n=122 wrong_sign=0 [] zeros=247 max_zero_m=619 mu_of_it=4.16e-03 (0.0s, total 3s)
n=123 wrong_sign=0 [] zeros=249 max_zero_m=624 mu_of_it=4.12e-03 (0.0s, total 3s)
n=124 wrong_sign=0 [] zeros=251 max_zero_m=629 mu_of_it=4.09e-03 (0.0s, total 3s)
n=125 wrong_sign=0 [] zeros=253 max_zero_m=634 mu_of_it=4.06e-03 (0.0s, total 3s)
n=126 wrong_sign=0 [] zeros=255 max_zero_m=639 mu_of_it=4.02e-03 (0.0s, total 3s)
n=127 wrong_sign=0 [] zeros=257 max_zero_m=644 mu_of_it=3.99e-03 (0.0s, total 3s)
n=128 wrong_sign=0 [] zeros=259 max_zero_m=649 mu_of_it=3.96e-03 (0.0s, total 3s)
n=129 wrong_sign=0 [] zeros=261 max_zero_m=654 mu_of_it=3.93e-03 (0.0s, total 3s)
n=130 wrong_sign=0 [] zeros=263 max_zero_m=659 mu_of_it=3.90e-03 (0.0s, total 3s)
n=131 wrong_sign=0 [] zeros=265 max_zero_m=664 mu_of_it=3.87e-03 (0.0s, total 3s)
n=132 wrong_sign=0 [] zeros=267 max_zero_m=669 mu_of_it=3.84e-03 (0.0s, total 3s)
n=133 wrong_sign=0 [] zeros=269 max_zero_m=674 mu_of_it=3.81e-03 (0.0s, total 3s)
n=134 wrong_sign=0 [] zeros=271 max_zero_m=679 mu_of_it=3.78e-03 (0.0s, total 3s)
n=135 wrong_sign=0 [] zeros=273 max_zero_m=684 mu_of_it=3.75e-03 (0.0s, total 3s)
n=136 wrong_sign=0 [] zeros=275 max_zero_m=689 mu_of_it=3.73e-03 (0.0s, total 3s)
n=137 wrong_sign=0 [] zeros=277 max_zero_m=694 mu_of_it=3.70e-03 (0.0s, total 4s)
n=138 wrong_sign=0 [] zeros=279 max_zero_m=699 mu_of_it=3.67e-03 (0.0s, total 4s)
n=139 wrong_sign=0 [] zeros=281 max_zero_m=704 mu_of_it=3.64e-03 (0.0s, total 4s)
n=140 wrong_sign=0 [] zeros=283 max_zero_m=709 mu_of_it=3.62e-03 (0.0s, total 4s)
n=141 wrong_sign=0 [] zeros=285 max_zero_m=714 mu_of_it=3.59e-03 (0.0s, total 4s)
n=142 wrong_sign=0 [] zeros=287 max_zero_m=719 mu_of_it=3.57e-03 (0.0s, total 4s)
n=143 wrong_sign=0 [] zeros=289 max_zero_m=724 mu_of_it=3.54e-03 (0.0s, total 4s)
n=144 wrong_sign=0 [] zeros=291 max_zero_m=729 mu_of_it=3.52e-03 (0.0s, total 4s)
n=145 wrong_sign=0 [] zeros=293 max_zero_m=734 mu_of_it=3.49e-03 (0.0s, total 4s)
n=146 wrong_sign=0 [] zeros=295 max_zero_m=739 mu_of_it=3.47e-03 (0.0s, total 4s)
n=147 wrong_sign=0 [] zeros=297 max_zero_m=744 mu_of_it=3.44e-03 (0.0s, total 4s)
n=148 wrong_sign=0 [] zeros=299 max_zero_m=749 mu_of_it=3.42e-03 (0.0s, total 4s)
n=149 wrong_sign=0 [] zeros=301 max_zero_m=754 mu_of_it=3.40e-03 (0.0s, total 4s)
n=150 wrong_sign=0 [] zeros=303 max_zero_m=759 mu_of_it=3.37e-03 (0.0s, total 4s)
DONE n=1..150 total violations 0, 4s
